unix,open,volume_btc,volume_eur,7_days_a,30_days_a,90_days_a,next_day_value,next_week_value
1472947200,532.05,83410.07,154.84,0.12,-0.69,-1.06,539.0,548.0
1473033600,537.83,194358.24,362.37,1.85,-0.57,-1.13,541.0,543.0
1473120000,539.26,204407.28,377.54,3.84,-0.4,-1.19,545.0,543.0
1473206400,542.8,193789.48,356.05,5.1,-0.17,-1.25,552.0,543.0
1473292800,547.69,234580.43,422.91,6.09,0.11,-1.31,556.0,543.0
1473379200,555.39,148756.15,269.02,6.47,0.42,-1.37,556.0,544.0
1473465600,555.0,60643.39,109.01,5.83,0.7,-1.42,548.0,544.0
1473552000,556.73,204111.54,374.0,4.01,0.99,-1.44,543.0,545.0
1473638400,541.98,179642.86,332.38,3.6,1.26,-1.43,543.0,545.0
1473724800,543.23,184808.74,340.59,1.55,1.42,-1.41,543.0,543.0
1473811200,541.95,118288.85,217.38,-0.31,1.57,-1.39,543.0,535.0
1473897600,543.0,165551.25,305.23,-1.95,1.59,-1.36,544.0,532.0
1473984000,543.0,105152.76,193.43,-2.74,1.61,-1.29,544.0,535.0
1474070400,544.0,62179.88,114.58,-2.27,1.65,-1.22,545.0,538.0
1474156800,544.72,80742.11,148.18,-1.3,1.63,-1.15,545.0,536.0
1474243200,545.99,99765.14,183.3,0.39,1.59,-1.07,543.0,537.0
1474329600,541.93,159041.15,292.32,0.53,1.56,-1.01,535.0,539.0
1474416000,536.02,256168.49,477.4,0.27,1.53,-1.0,532.0,541.0
1474502400,533.99,171516.78,322.25,-0.75,1.45,-1.03,535.0,541.0
1474588800,530.07,130004.69,242.97,-1.64,1.35,-1.05,538.0,544.0
1474675200,536.06,77110.15,142.9,-2.61,1.22,-1.04,536.0,548.0
1474761600,539.5,71811.44,133.91,-2.35,1.12,-1.02,537.0,547.0
1474848000,533.47,246524.13,457.4,-1.33,1.0,-1.02,539.0,546.0
1474934400,538.01,281534.37,521.78,-0.58,0.88,-1.01,541.0,546.0
1475020800,541.4,169465.64,313.29,0.51,0.72,-0.99,541.0,549.0
1475107200,540.0,151341.88,279.95,1.27,0.6,-0.98,544.0,548.0
1475193600,542.0,247914.12,454.74,1.39,0.45,-0.95,548.0,553.0
1475280000,545.99,121613.92,221.37,0.96,0.32,-0.92,547.0,555.0
1475366400,549.8,196770.78,359.21,1.38,0.19,-0.86,546.0,555.0
1475452800,543.95,158195.62,288.5,2.34,0.05,-0.83,546.0,556.0
1475539200,547.9,265492.82,484.78,1.45,-0.13,-0.79,549.0,568.0
1475625600,546.99,223060.99,406.79,1.26,-0.16,-0.75,548.0,581.0
1475712000,547.75,238242.94,431.96,1.1,-0.17,-0.7,553.0,577.0
1475798400,549.03,277318.65,498.23,0.62,-0.16,-0.68,555.0,579.0
1475884800,553.83,118384.23,212.54,0.29,-0.13,-0.64,555.0,581.0
1475971200,556.0,27383.94,49.43,0.79,-0.03,-0.6,556.0,582.0
1476057600,553.0,217764.17,392.05,1.79,0.12,-0.56,568.0,582.0
1476144000,556.22,434084.02,756.41,1.41,0.26,-0.52,581.0,581.0
1476230400,579.99,233402.82,402.75,1.61,0.43,-0.47,577.0,576.0
1476316800,578.0,280057.15,484.89,3.94,0.65,-0.41,579.0,578.0
1476403200,573.39,343172.67,591.21,4.98,0.86,-0.35,581.0,578.0
1476489600,581.16,150911.35,258.09,4.63,1.0,-0.28,582.0,594.0
1476576000,580.52,105222.07,179.99,4.93,1.19,-0.21,582.0,603.0
1476662400,583.0,214523.16,367.86,4.49,1.36,-0.13,581.0,600.0
1476748800,580.0,322670.0,553.52,3.02,1.54,-0.05,576.0,602.0
1476835200,579.0,202039.62,349.79,0.61,1.68,0.03,578.0,613.0
1476921600,576.4,269863.41,468.04,0.65,1.81,0.1,578.0,624.0
1477008000,576.78,210739.31,362.62,0.15,1.88,0.17,594.0,628.0
1477094400,582.16,461862.81,767.31,-0.91,1.9,0.23,603.0,637.0
1477180800,604.0,120562.88,200.13,-0.4,1.92,0.31,600.0,636.0
1477267200,599.0,239416.51,399.87,2.32,2.03,0.4,602.0,632.0
1477353600,600.0,410432.65,680.42,4.03,2.12,0.48,613.0,643.0
1477440000,606.0,299325.86,488.27,4.84,2.21,0.55,624.0,656.0
1477526400,620.97,417469.92,666.37,5.43,2.27,0.64,628.0,645.0
1477612800,629.0,295498.85,469.26,6.29,2.43,0.73,637.0,627.0
1477699200,630.5,464143.87,725.31,6.48,2.63,0.83,636.0,634.0
1477785600,641.0,183365.5,288.51,5.73,2.78,0.92,632.0,637.0
1477872000,631.48,227270.99,359.17,7.5,2.98,1.01,643.0,641.0
1477958400,633.36,255474.09,394.48,6.21,3.1,1.07,656.0,642.0
1478044800,648.0,415808.58,634.11,4.11,3.22,1.08,645.0,648.0
1478131200,671.1,829735.89,1275.47,3.24,3.35,1.12,627.0,659.0
1478217600,620.66,515341.07,812.15,5.49,3.62,1.19,634.0,659.0
1478304000,635.0,97349.16,153.7,1.69,3.5,1.22,637.0,654.0
1478390400,633.99,275959.75,433.9,-0.07,3.45,1.27,641.0,647.0
1478476800,641.85,297047.46,465.53,-0.59,3.35,1.32,642.0,650.0
1478563200,639.87,900754.0,1404.88,-1.38,3.31,1.37,648.0,659.0
1478649600,640.92,1082443.16,1648.54,-2.48,3.23,1.41,659.0,675.0
1478736000,660.89,317926.23,484.44,-1.62,3.09,1.45,659.0,688.0
1478822400,658.0,679705.4,1025.64,4.94,3.07,1.51,654.0,698.0
1478908800,660.33,344458.17,528.15,4.35,3.15,1.55,647.0,703.0
1478995200,648.0,514014.13,800.97,4.73,3.19,1.6,650.0,698.0
1479081600,647.99,591354.69,906.33,2.73,3.09,1.62,659.0,689.0
1479168000,655.91,743319.32,1118.97,1.36,3.0,1.64,675.0,700.0
1479254400,662.0,780759.23,1159.03,0.33,2.94,1.67,688.0,704.0
1479340800,685.04,243739.92,351.65,-0.47,2.89,1.7,698.0,703.0
1479427200,692.5,467221.51,666.21,3.3,2.94,1.74,703.0,701.0
1479513600,701.93,133844.02,189.77,6.59,2.98,1.78,698.0,698.0
1479600000,708.46,377611.34,548.6,10.0,3.02,1.83,689.0,693.0
1479686400,687.31,488375.2,710.15,10.86,3.04,1.88,700.0,691.0
1479772800,693.0,503271.53,717.5,7.29,2.91,1.92,704.0,693.0
1479859200,706.25,427062.71,608.32,4.05,2.92,1.95,703.0,694.0
1479945600,704.61,514891.73,734.12,1.79,2.93,2.0,701.0,705.0
1480032000,701.99,447434.11,640.83,1.05,2.9,2.03,698.0,718.0
1480118400,700.0,255457.66,367.84,0.41,2.84,2.07,693.0,725.0
1480204800,693.8,115739.11,166.86,0.56,2.84,2.09,691.0,724.0
1480291200,691.51,350819.53,506.23,1.04,2.81,2.11,693.0,717.0
1480377600,695.0,360300.84,518.71,-1.21,2.75,2.13,694.0,709.0
1480464000,690.75,351850.8,503.25,-2.43,2.76,2.14,705.0,715.0
1480550400,702.9,270398.75,382.36,-2.29,2.65,2.15,718.0,725.0
1480636800,709.88,609770.1,840.76,-0.52,2.6,2.16,725.0,730.0
1480723200,726.6,167039.49,231.87,1.68,2.67,2.18,724.0,736.0
1480809600,720.39,348012.22,481.89,5.11,2.98,2.22,717.0,737.0
1480896000,729.99,608109.48,855.99,6.03,2.88,2.26,709.0,735.0
1480982400,705.63,417967.33,588.39,6.71,2.89,2.3,715.0,738.0
1481068800,714.99,230454.5,321.29,3.9,2.7,2.32,725.0,739.0
1481155200,718.32,322742.36,444.17,1.11,2.59,2.35,730.0,744.0
1481241600,728.61,292091.93,398.14,-0.45,2.46,2.39,736.0,751.0
1481328000,732.99,203998.76,276.74,-0.47,2.36,2.43,737.0,756.0
1481414400,738.55,183586.07,251.02,1.7,2.39,2.47,735.0,759.0
1481500800,732.03,261089.99,353.01,3.36,2.41,2.5,738.0,762.0
1481587200,737.99,443303.55,599.79,5.04,2.36,2.53,739.0,772.0
1481673600,737.41,463937.87,629.77,3.8,2.23,2.56,744.0,786.0
1481760000,739.9,315819.63,422.44,2.68,2.06,2.58,751.0,814.0
1481846400,749.0,417525.78,557.05,1.51,1.92,2.6,756.0,856.0
1481932800,752.93,270200.55,356.59,2.0,1.85,2.63,759.0,871.0
1482019200,758.5,112806.28,149.01,2.82,1.92,2.65,762.0,857.0
1482105600,759.0,254987.38,334.11,4.32,2.05,2.68,772.0,856.0
1482192000,764.99,471131.94,613.11,4.22,2.21,2.7,786.0,877.0
1482278400,775.58,666539.84,843.3,4.66,2.44,2.72,814.0,915.0
1482364800,798.82,1024596.56,1238.9,5.18,2.56,2.74,856.0,935.0
1482451200,828.99,963716.74,1118.18,7.19,2.83,2.77,871.0,920.0
1482537600,880.0,241898.08,280.3,11.62,3.34,2.82,857.0,916.0
1482624000,857.8,343313.65,410.81,19.23,4.12,2.91,856.0,931.0
1482710400,856.0,249829.7,290.25,20.71,4.65,2.97,877.0,961.0
1482796800,864.0,518980.2,589.28,18.52,5.09,3.03,915.0,979.0
1482883200,890.0,895678.7,972.86,14.59,5.47,3.09,935.0,1033.0
1482969600,937.05,613792.96,660.48,11.41,5.93,3.16,920.0,1002.0
1483056000,925.01,750209.16,829.91,12.51,6.62,3.27,916.0,903.0
1483142400,914.99,162022.08,177.97,11.7,7.1,3.36,931.0,857.0
1483228800,916.99,343329.12,367.55,13.67,7.5,3.44,961.0,866.0
1483315200,948.29,379999.39,392.49,11.43,7.86,3.51,979.0,864.0
1483401600,968.51,722535.47,736.15,10.17,8.45,3.6,1033.0,864.0
1483488000,993.06,2051580.07,1991.27,8.93,9.02,3.7,1002.0,811.0
1483574400,1065.0,2290210.29,2397.82,10.3,9.71,3.81,903.0,763.0
1483660800,955.34,1382434.04,1575.93,22.42,10.58,3.97,857.0,777.0
1483747200,856.3,1085483.44,1327.35,16.49,10.65,4.04,866.0,781.0
1483833600,864.38,494488.19,566.09,-2.55,9.99,4.04,864.0,777.0
1483920000,868.0,593501.46,691.06,-18.35,9.4,4.03,864.0,785.0
1484006400,859.99,473466.36,544.6,-27.41,8.8,4.02,811.0,826.0
1484092800,866.0,2055511.06,2576.2,-31.58,8.12,4.02,763.0,841.0
1484179200,747.02,1011880.08,1348.03,-27.71,7.39,4.02,777.0,841.0
1484265600,769.93,581711.6,754.08,-21.78,5.87,3.92,781.0,844.0
1484352000,784.99,453653.91,578.36,-17.71,4.48,3.85,777.0,851.0
1484438400,777.0,224960.04,291.02,-19.55,3.2,3.78,785.0,861.0
1484524800,777.0,739188.63,945.37,-18.54,1.91,3.7,826.0,861.0
1484611200,792.74,1110043.95,1327.84,-13.89,0.64,3.62,841.0,848.0
1484697600,853.5,550221.79,661.36,-5.46,-0.51,3.54,841.0,837.0
1484784000,835.99,583780.12,690.35,12.75,-1.28,3.5,844.0,847.0
1484870400,845.77,349095.95,415.01,12.53,-2.16,3.45,851.0,855.0
1484956800,840.96,461622.45,535.8,13.46,-2.93,3.4,861.0,858.0
1485043200,863.5,473110.55,549.56,13.31,-3.61,3.37,861.0,858.0
1485129600,859.99,225061.96,261.47,12.44,-3.95,3.34,848.0,860.0
1485216000,854.13,520869.29,615.45,8.1,-3.98,3.3,837.0,881.0
1485302400,835.98,418440.79,500.42,2.41,-4.19,3.26,847.0,908.0
1485388800,835.99,423805.67,500.42,1.28,-4.53,3.22,855.0,929.0
1485475200,854.0,274792.11,320.42,-1.74,-4.81,3.17,858.0,941.0
1485561600,858.0,195939.65,228.89,-1.43,-4.77,3.14,858.0,952.0
1485648000,859.15,105718.24,123.07,-1.67,-4.37,3.12,860.0,948.0
1485734400,858.14,391204.3,455.07,0.83,-4.01,3.08,881.0,947.0
1485820800,860.0,794283.04,899.36,2.87,-3.7,3.05,908.0,969.0
1485907200,900.47,488029.35,539.53,4.34,-3.34,3.02,929.0,987.0
1485993600,916.04,659760.6,710.5,7.34,-2.47,3.03,941.0,952.0
1486080000,941.46,707641.25,751.04,9.71,-1.34,3.01,952.0,932.0
1486166400,943.0,269259.67,283.43,14.52,0.14,3.02,948.0,946.0
1486252800,954.57,310286.54,328.53,16.94,2.15,3.03,947.0,947.0
1486339200,940.01,308671.03,323.48,17.72,3.54,3.04,969.0,947.0
1486425600,950.53,524581.5,536.55,13.4,4.15,3.04,987.0,954.0
1486512000,987.97,795737.06,811.21,7.54,4.84,3.03,952.0,960.0
1486598400,984.5,2705220.59,2905.44,8.25,5.77,3.07,932.0,970.0
1486684800,923.99,694867.39,754.97,7.68,6.56,3.1,946.0,987.0
1486771200,939.0,302729.33,317.9,1.81,6.95,3.08,947.0,996.0
1486857600,948.45,197346.12,208.65,-1.6,6.59,3.05,947.0,994.0
1486944000,945.46,474903.18,504.65,-2.2,6.36,3.03,954.0,1005.0
1487030400,947.94,657026.34,686.66,-4.99,6.14,3.01,960.0,1042.0
1487116800,958.66,380613.8,396.9,-6.2,5.8,2.99,970.0,1065.0
1487203200,960.63,518955.95,532.74,-0.83,5.46,2.99,987.0,1090.0
1487289600,979.99,631202.67,636.06,5.31,5.16,2.99,996.0,1115.0
1487376000,994.96,330103.37,330.05,5.73,5.33,3.01,994.0,1100.0
1487462400,997.0,215145.55,216.7,7.9,5.42,3.04,1005.0,1094.0
1487548800,990.0,581636.93,579.61,9.64,5.52,3.05,1042.0,1115.0
1487635200,1020.08,1258913.0,1207.05,8.47,5.47,3.05,1065.0,1122.0
1487721600,1062.99,683469.13,642.97,9.29,5.71,3.08,1090.0,1138.0
